"","Country","obrate","ppgdp","uwchildren","education_xp","inflation","gini_index","pop_growth","internet_users","health_xp","birth_rate","elec_consum","fertility","youth_unemployment","population","ppimports","USborderdegrees","USborderdegrees_wtd_bl"
"95","Laos",0.012,2700,31.6,2.3,7.6,36.7,1.66,3e+05,6.5,25.68,2.23e+09,3.06,NA,6586266,354.6774455,14,10915
"96","Latvia",0.156,15900,NA,5,4.4,35.2,-0.6,1504000,8.1,9.97,6.22e+09,1.33,33.8,2191580,6766.807509,13,9350
"97","Lebanon",0.135,15700,4.2,1.8,5.1,NA,-0.38,1e+06,8.2,14.92,1.23e+10,1.76,22.1,4140289,4804.012474,16,10201
"98","Lesotho",0.19989418,2000,16.6,12.4,5,63.2,0.33,76800,13.2,26.65,2.93e+08,2.89,NA,1930493,1186.225487,20,14948
"99","Liberia",0.090201005,500,20.4,2.7,7.4,NA,2.61,20000,3.9,36.45,311600000,5.02,4.7,3887886,194.424425,15,11477
"100","Libya",0.25,14100,5.6,NA,15.9,NA,2.01,353900,6.6,23.47,2.43e+10,2.12,NA,5613380,1838.464526,13,10793
"101","Lithuania",0.197,19100,NA,4.7,4.1,35.5,-0.28,1964000,7.8,9.34,9.57e+09,1.27,29.4,3525761,8744.211533,12,8831
"102","Luxembourg",0.16020202,81100,NA,NA,3.4,26,1.14,424500,4.1,11.7,5.97e+09,1.77,17.2,509074,51603.49969,10,8146
"103","Macedonia",0.15,10500,1.8,NA,3.9,44.2,0.24,1057000,6.9,11.8,9.02e+09,1.59,54.9,2082370,3364.915937,14,9090
"104","Madagascar",0.021,900,36.8,3,9.5,47.5,2.95,319900,6.2,37.13,1.26e+09,4.45,2.3,22005222,168.5509012,NA,NA
"105","Malawi",0.015025126,900,15.5,4.2,7.6,39,2.76,716400,4.8,40.42,1.61e+09,5.35,NA,16323044,103.3508211,18,13637
"106","Malaysia",0.163,15800,NA,4.1,3.2,46.2,1.54,15355000,8,20.74,9.5e+10,2.64,10.9,29179952,6069.235481,16,12765
"107","Maldives",0.164158416,8800,25.7,11.2,6,NA,-0.13,86400,5.6,15.12,2.79e+08,1.79,22.2,394451,2451.508552,NA,NA
"108","Mali",0.045353535,1100,27.9,4.4,2.9,40.1,2.61,249800,7.5,45.15,483600000,6.35,NA,15494466,163.4777217,13,11003
"109","Malta",0.207,25800,NA,6.4,2.7,26,0.36,240600,16.5,10.31,1.99e+09,1.53,13.3,409836,17899.84286,NA,NA
"110","Marshall Islands",0.124187192,2500,NA,12,12.9,NA,1.87,2200,2.5,28.14,NA,3.37,NA,68480,1159.462617,NA,NA
"111","Mauritania",0.158374384,2200,16.7,4.4,7.5,39,2.32,75000,5.7,32.78,440800000,4.22,NA,3359185,849.6108431,12,9771
"112","Mauritius",0.150707071,15100,NA,3.2,6.5,39,0.71,290000,6.5,13.78,2.69e+09,1.78,21.4,1313095,3928.885572,NA,NA
"113","Mexico",0.236,14800,3.4,4.8,3.4,51.7,1.09,31020000,13.8,18.87,2.04e+11,2.27,10,114975406,3051.087291,1,3141
"114","Federated States of Micronesia",0.75,2200,NA,NA,2.2,NA,-0.34,17000,3.9,21.85,178600000,2.68,NA,106487,1246.161503,NA,NA
"115","Moldova",0.15,3400,3.2,9.6,7.6,38,-1.01,1333000,11.9,12.5,3.42e+09,1.55,15.4,3656843,1407.498216,13,9755
"116","Mongolia",0.098,4800,5.3,5.6,9.5,36.5,1.47,330000,9.3,20.7,3.38e+09,2.19,20,3179997,2052.51766,13,12601
"117","Morocco",0.16,5100,9.9,5.6,1.4,40.9,1.05,13213000,5.5,18.97,2.22e+10,2.19,21.9,32309239,1250.106819,11,8210
"118","Mozambique",0.015384615,1100,21.2,5,10.4,45.6,2.44,613600,5.7,39.34,1.02e+10,5.4,NA,23515934,171.330639,18,13548
"119","Namibia",0.030456853,7500,17.5,6.4,5,70.7,0.82,127500,5.9,21.11,3.27e+09,2.41,41.7,2165828,2467.878336,18,13362
"120","Nauru",0.824747475,5000,NA,NA,NA,NA,0.61,NA,12.1,27.08,30690000,3.03,NA,9378,2132.650885,NA,NA
"121","Nepal",0,1300,38.8,4.6,9.1,47.2,1.77,577800,5.8,21.85,4.83e+09,2.41,NA,29890686,180.6582827,14,11728
"122","Netherlands",0.125050505,42700,NA,5.3,2.3,30.9,0.45,14872000,10.8,10.89,1.07e+11,1.78,6.6,16730632,29472.88542,11,8744
"123","New Zealand",0.265,28000,NA,6.1,4,36.2,0.86,3400000,9.7,13.57,3.9e+10,2.07,16.6,4327944,8209.440788,NA,NA
"124","Nicaragua",0.286262626,3200,4.3,3.1,8.1,40.5,1.07,199800,9.5,19.12,2.65e+09,2.08,8.6,5727707,1128.898528,4,4835
"125","Niger",0.02,800,39.9,4.5,2.9,34,3.63,115900,6.1,50.06,695300000,7.16,3.2,16344687,120.4672809,13,10767
"126","Nigeria",0.055,2600,26.7,NA,10.8,43.7,2.55,43989000,5.8,39.23,1.77e+10,5.38,NA,170123740,408.4673897,14,11806
"127","Norway",0.1,54200,NA,6.8,1.3,25,0.33,4431000,9.7,10.8,1.11e+11,1.77,9.2,4707270,18794.33302,13,9254
"128","Oman",0.11930131,26900,NA,3.9,4.1,NA,2.04,1465000,3,24.33,1.53e+10,2.87,NA,3090150,6928.466256,17,10841
"129","Pakistan",0.034563107,2800,31.3,2.7,11.9,30.6,1.55,20431000,2.6,24.3,7.44e+10,3.07,7.7,190291129,188.2378868,14,10563
"130","Palau",0.461111111,8100,NA,NA,2.7,NA,0.36,NA,11.2,10.79,NA,1.72,NA,21032,5101.749715,NA,NA
"131","Panama",0.159405941,14300,3.9,3.8,5.9,51.9,1.41,959800,8.3,19.17,5.81e+09,2.43,14.9,3510045,6538.377713,6,5474
"132","Papua New Guinea",0.044778325,2600,18.1,NA,8.5,50.9,1.94,125000,3.1,25.92,3.1e+09,3.39,NA,6310129,967.6505821,18,15367
"133","Paraguay",0.139405941,5500,NA,4,8.3,53.2,1.26,1105000,7.1,17.22,6.24e+09,2.06,11.8,6541591,1843.588204,9,8708
"134","Peru",0.163,10200,5.4,2.7,3.4,46,1.02,9158000,4.6,19.13,3.43e+10,2.29,14,29549517,1251.120281,8,7499
"135","Philippines",0.043,4100,20.7,2.8,4.8,45.8,1.87,8278000,3.8,24.98,5.13e+10,3.15,17.4,103775002,603.9990247,NA,NA
"136","Poland",0.18,20600,NA,4.9,4.3,34.2,-0.08,22452000,7.1,9.96,1.27e+11,1.31,20.7,38415284,5414.511578,11,8740
"137","Portugal",0.142,23700,NA,4.4,3.7,38.5,0.18,5168000,11.3,9.76,4.78e+10,1.51,20,10781459,7165.078493,11,9408
"138","Qatar",0.221941032,104300,NA,3.3,1.9,NA,4.93,563800,2.5,10.23,1.73e+10,1.93,1.6,1951591,11826.24843,17,10225
"139","Romania",0.086,12600,3.5,4.3,5.8,33.3,-0.26,7787000,5.4,9.49,4.56e+10,1.3,20.8,21848504,3346.682226,13,9305
"140","Russia",0.24,17000,NA,3.9,8.4,42,-0.48,40853000,5.4,10.94,8.08e+11,1.61,18.3,142517670,2262.877298,12,9058
"141","Rwanda",0.010309278,1400,18,4.1,3.9,46.8,2.75,450000,9,36.14,301400000,4.81,NA,11689696,117.3683216,17,12945
"142","Saint Kitts and Nevis",0.195656566,15800,NA,9.6,3.8,NA,0.81,17000,6,13.9,125600000,1.79,NA,50726,6223.632851,NA,NA
"143","Saint Lucia",0.263265306,12800,NA,4.5,2.6,NA,0.38,142900,8.1,14.42,317300000,1.8,40.8,162178,3366.054582,NA,NA
"144","Saint Vincent and the Grenadines",0.154356436,11600,NA,6.6,2.3,NA,-0.31,76000,5.6,14.36,122800000,1.89,NA,103537,3361.117282,NA,NA
"145","Samoa",0.510909091,6000,NA,5.7,5.2,NA,0.6,9000,7,22.1,96910000,3.13,12.2,194320,1440.92219,NA,NA
"146","San Marino",0.230351759,36200,NA,NA,3.1,NA,0.98,17000,7.1,8.9,NA,1.48,NA,32140,66334.78531,NA,NA
"147","Sao Tome and Principe",0.035252525,2300,13.1,NA,12.4,NA,2,26700,7.1,37.02,29760000,4.94,NA,183176,611.9797353,NA,NA
"148","Saudi Arabia",0.356,24500,5.3,5.6,5,NA,1.52,9774000,5,19.19,1.86e+11,2.26,28.2,26534504,4424.427907,16,10165
"149","Senegal",0.070505051,1900,14.5,5.8,3.4,41.3,2.53,1818000,5.7,36.19,2.12e+09,4.69,14.8,12969606,415.6641304,13,10584
"150","Seychelles",0.251,25000,NA,5,2.6,NA,0.92,32000,4,15.1,227900000,1.9,20.3,90024,9702.968097,NA,NA
"151","Sierra Leone",0.101538462,900,21.3,4.3,18,62.9,2.28,14900,13.1,38.12,111600000,4.9,5.2,5485998,239.5188624,15,11566
"152","Singapore",0.069,60500,3.3,3,5.2,47.3,1.99,3235000,3.9,7.72,4.12e+10,0.78,12.9,5353494,68422.604,NA,NA
"153","Slovakia",0.143,23600,NA,3.6,3.9,26,0.1,4063000,8.5,10.38,2.88e+10,1.38,27.3,5483088,13136.75797,12,8785
"154","Slovenia",0.15,29000,NA,5.2,1.8,28.4,-0.19,1298000,9.1,8.76,1.16e+10,1.31,13.6,1996617,15315.90686,11,8760
"155","Solomon Islands",0.113140097,3200,11.5,NA,7.4,NA,2.17,10000,5.4,27.46,76260000,3.51,NA,584578,616.342045,NA,NA
"156","Somalia",0.02010101,600,32.8,NA,NA,NA,1.6,106000,NA,42.12,2.93e+08,6.26,NA,10085638,125.2275761,16,11948
"157","South Africa",0.227208122,11100,NA,5.4,5,65,-0.41,4420000,8.5,19.32,2.06e+11,2.28,48.2,48810427,2102.009884,19,14039
"158","Spain",0.156,31000,NA,4.3,3.1,32,0.65,28119000,9.7,10.4,2.57e+11,1.48,37.9,47042984,7718.472961,10,8194
"159","Sri Lanka",0,5700,21.1,NA,7,49,0.91,1777000,4,17.04,9.27e+09,2.17,21.3,21481334,931.9719157,NA,NA
"160","Sudan",0.044875622,2800,31.7,NA,18,NA,1.88,4200000,7.3,31.7,4.61e+09,4.17,NA,34206710,236.4448379,14,11176
"161","Suriname",0.14,9600,NA,NA,19.5,NA,1.22,163000,7.6,17.44,1.46e+09,2.08,21.5,560157,2559.996572,9,7936
"162","Swaziland",0.111020408,5400,6.1,7.8,6.1,50.4,1.2,90100,6.3,26.16,1.18e+09,3.03,NA,1386914,1496.848399,19,13653
"163","Sweden",0.12,40900,NA,6.6,3,23,0.17,8398000,9.9,10.24,1.27e+11,1.67,25,9103788,19728.05166,14,10595
"164","Switzerland",0.082,43900,NA,5.2,0.2,33.7,0.2,6152000,11.3,9.51,5.77e+10,1.53,8.2,7925517,37107.9893,10,8618
"165","Syria",0.25,5100,10,4.9,4.8,NA,-0.8,4469000,2.9,23.52,2.89e+10,2.85,19.1,22530746,573.8824627,15,10173
"166","Taiwan",0,38200,NA,NA,1.4,32.6,0.17,16147000,NA,8.81,2.04e+11,1.1,NA,23234936,12024.99546,NA,NA
"167","Tajikistan",0.085454545,2100,14.9,3.5,12.5,32.6,1.82,7e+05,5.3,25.93,1.33e+10,2.85,NA,7768385,409.8664008,14,10906
"168","Tanzania",0.04,1500,16.7,6.8,12.7,37.6,1.96,678000,5.1,31.81,3.59e+09,5.08,8.8,46912768,184.3847713,17,13162
"169","Thailand",0.078,9500,7,4.1,3.8,53.6,0.54,17483000,4.3,12.81,1.32e+11,1.66,4.3,67091089,2925.872913,15,12259
"170","Timor-Leste",0.123921569,8800,40.6,16.8,12.3,31.9,1.96,2100,12.3,25.43,67590000,5.32,NA,1143667,602.4480902,18,14775
"171","Togo",0.04030303,900,20.5,4.6,3.6,NA,2.75,356300,5.9,35.26,6.51e+08,4.64,NA,6961049,210.7440991,15,11465
"172","Tonga",0.56,7400,NA,3.9,6.6,NA,0.19,8400,6.2,24.7,38130000,3.55,11.9,106146,1315.169672,NA,NA
"173","Trinidad and Tobago",0.364358974,20300,4.4,NA,5.1,NA,-0.09,593000,5.6,14.25,7.1e+09,1.72,10.5,1226383,7266.082455,NA,NA
"174","Tunisia",0.204378109,9600,3.3,7.1,3.5,40,0.96,3500000,6.2,17.28,1.28e+10,2.02,30.7,10732900,2200.709967,13,10776
"175","Turkey",0.161,14700,3.5,2.9,6.5,40.2,1.2,27233000,6.7,17.58,1.55e+11,2.13,25.3,79749461,2920.395913,14,9351
"176","Turkmenistan",0.120456853,7900,NA,NA,12,40.8,1.14,80400,2.3,19.55,1.12e+10,2.14,NA,5054828,1890.667694,14,10646
"177","Tuvalu",0.199518717,3400,1.6,NA,3.8,NA,0.73,4200,9.9,23.35,NA,3.08,NA,10619,1215.745362,NA,NA
"178","Uganda",0.01,1300,16.4,3.2,18.7,44.3,3.58,3200000,8.2,47.38,2.22e+09,6.14,NA,33640833,151.3933974,16,12776
"179","Ukraine",0.134516129,7300,4.1,5.3,8,27.5,-0.63,7770000,7,9.59,1.38e+11,1.29,14.9,44854065,1855.350234,12,8875
"180","United Arab Emirates",0.337,48800,NA,1.2,0.9,NA,3.06,3449000,2.8,15.76,7.41e+10,2.38,12.1,5314317,34924.52558,17,10622
"181","United Kingdom",0.227,36600,NA,5.5,4.5,34,0.55,51444000,9.3,12.27,3.26e+11,1.91,18.9,63047162,10143.20042,NA,NA
"182","United States",0.339,49000,1.3,5.5,3.1,45,0.9,2.45e+08,16.2,13.68,3.89e+12,2.06,17.6,313847465,7124.48004,0,0
"183","Uruguay",0.280725389,15300,6,2.9,8.1,45.3,0.24,1405000,7.4,13.4,7.96e+09,1.87,20,3316328,3139.013994,9,8411
"184","Uzbekistan",0.125276382,3300,4.4,NA,13.5,36.8,0.94,4689000,5.2,17.33,4.29e+10,1.86,NA,28394180,300.4136763,14,10705
"185","Vanuatu",0.233529412,5000,NA,4.8,0.9,NA,1.32,17000,4,20.6,51150000,3.57,NA,256155,609.0062657,NA,NA
"186","Venezuela",0.33,12700,3.7,3.7,26.1,39,1.47,8918000,NA,19.88,8.59e+10,2.4,13.6,28047938,1655.736689,8,7749
"187","Vietnam",0.005,3400,20.2,5.3,18.7,37.6,1.05,23382000,7.2,16.83,1.01e+11,1.89,4.6,91519289,1068.954983,14,11773
"188","Yemen",0.03980198,2300,43.1,5.2,20,37.7,2.58,2349000,5.6,32.57,4.7e+09,4.45,NA,24771809,333.5242896,17,11129
"189","Zambia",0.01,1600,14.9,1.3,8.7,50.8,3.03,816200,4.8,43.51,7.7e+09,5.85,NA,13817479,460.2141968,17,13129
"190","Zimbabwe",0.157,500,14,NA,5.4,50.1,4.36,1423000,NA,32.19,1.25e+10,3.61,24.9,12619600,346.2867286,18,13926
